Full Name,unicode
Abel Aguilar,tvtRjPWG
Egidio Arevalo,hjckxK05
Pablo Armero,O8UqhRnb
Carlos Carbonero,vaLhwP79
Diego Forlan,AgK0X9Xg
Jorge Fucile,0dvnRAas
Walter Gargano,jTcOvRLb
Fredy Guarin,tSuI4NqP
Teofilo Gutierrez,bcVXlNFN
Victor Ibarbo,0AS5LZj5
Nicolas Lodeiro,xjFz7K56
Diego Lugano,tbQStlqm
Jackson Martinez,zkwG1qoB
Alexander Mejia,rueTwLEM
Faryd Mondragon,2wpxYuYt
Rodrigo Munoz,IBfM1hqq
Jose Pekerman,Wf8ozmco
Alvaro Pereira,lrp8099E
Diego Perez,INeqRV40
Juan Quintero,SQPKfPk1
Adrian Ramos,YZ3fZd1q
Cristian Rodriguez,G6DApa02
Martin Silva,S8gxSjvq
Oscar Tabarez,6X4sYXGs
Carlos Enrique Valdes Parra,8WZWgfpG
Camilo Vargas,2e2T9i1r
Mario Yepes,rBdCqjYP
Camilo Zuniga,EwafDIPi
Henri Bedimo,E9RHZbPR
Cedric Djeugoue,WG7Z6ETr
Eyong Enoh,l2QU0x98
Samuel Eto'o,KUCt6uhi
Loic Feudjou,GSuaSrFc
Volker Finke,lG07OmMC
Hernanes,f1K6aZH4
Hulk,lKBIrwVE
Charles Itandje,bZCdob4T
Jefferson,SYQSo4N8
Jo,APYEb3WB
Jean Makoun,roelnWzR
Maxwell,lxTgxZ9r
Stephane Mbia,QB1JjbkE
Benjamin Moukandjo,KvSUXPrI
Sammy N'Djock,Gp65kpmj
Landry N'Guemo,42K00pZE
Dany Nounkeu,Gl0X3I1b
Fabrice Olinga,00w3qCLK
Oscar,KfKDzbEo
 Ramires,8APqwh2k
Luiz Scolari,zTlM32dp
Victor Leandro Bagy,CItr06SK
Pierre Webo,IeDBoGkk
Rahman Ahmadi,z7yrtLGL
Seyed Alenemeh,QmMCDUsE
Mariano Andujar,SI6vFL9n
Jose Basanta,WGN2Oc7F
Hashem Beikzadeh,fLMSz6DJ
Steven Beitashour,p8Luljga
Hugo Campagnaro,WzFZEcqQ
Daniel Davari,vTfhX4Qe
Ashkan Dejagah,rar51Am2
Martin Demichelis,2Z11gzUL
Fernando Gago,2kfO5hFh
Reza Ghoochannejhad,fewZf0nn
Ghasem Hadadifar,Krh5xE3j
Alireza Haghighi,jPnlaoxE
Reza Haghighi,xbAEhSze
Ehsan Hajsafi,CdJzhxZa
Khosro Heydari,nJ17TN5g
Jalal Hosseini,OtzcEwBP
Ezequiel Lavezzi,6et6rxwE
Hossein Mahini,IXocdPsn
Pejman Montazeri,KKGJuspA
Javad Nekounam,000SFHn7
Agustin Orion,nczFLA83
Enzo Perez,2Prv8OYO
Mehrdad Pooladi,4Usgc5Su
Carlos Queiroz,jPnZyPCr
Bakhtiar Rahmani,d4nnAG43
Maxi Rodriguez,IT6wVRWI
Alejandro Sabella,SY1QwUiN
Amir-Hossein Sadeghi,2mNpoT12
Masoud Shojaei,hhICjA8O
Andranik Teymourian,6X7qfC3g
Alberto Aquilani,GOfxrOoF
Antonio Cassano,W8ICA6sH
DaMarcus Beasley,lGo5fQL1
Kyle Beckerman,CWokT5Nb
Alejandro Bedoya,UsBqE6t9
Matt Besler,SjDdp8hO
Michael Bradley,YPrUJq7B
Brad Davis,C4FFm2mD
Clint Dempsey,fPKW3px6
Mix Diskerud,fHjvV3H2
Omar Gonzalez,rB26jIhb
Kevin Grosskreutz,bLaT0ZF0
Brad Guzan,M3Uze1K2
Tim Howard,SxNK5vu3
Jermaine Jones,tv05hFpI
Jurgen Klinsmann,xtNWH61h
Miroslav Klose,tO31cZrF
Philipp Lahm,MB26hXLr
Joachim Low,j3q9jXxQ
Lukas Podolski,lpabyhMe
Nick Rimando,KOafz6f0
Bastian Schweinsteiger,Kj6ZEYc8
Chris Wondolowski,SpP9gO3a
Graham Zusi,rZBjnDGr
Jhonny Acosta,6m4BP7gi
Michael Barrantes,MqfnptPJ
Christian Bolanos,CWmnvbHg
Randall Brenes,h8CeoOPI
Diego Calvo,4GGjqafm
Daniel Cambronero,byQfgfqC
Jose Cubero,AyF3qJLb
Junior Diaz,fuBbwIWa
Waylon Francis,lMiHuUJH
Esteban Granados,xbAbjkxK
Roy Miller,fNo8fKgi
Dave Myrie,ja4WMUbq
Patrick Pemberton,IJw6T8Cn
Jorge Luis Pinto,hMCFvhTM
Bryan Ruiz,GSUXE4vL
Yeltsin Tejeda,Eq6MrP3D
Michael Umana,xtCih6yT
Marcos Urena,xfTVE588
Gabriel Achilier,Iam6OwQb
Michael Arroyo,IBomjdt5
Jaime Ayovi,bqzUjYCp
Walter Ayovi,xrkI4I9a
Oscar Bagui,GdEnsg7c
Maximo Banguera,C0V3v9Vn
Adrian Bone,xfEn0qWm
Didier Deschamps,M9jPX2nf
Alexander Dominguez,Wv5O5H4G
Frickson Erazo,boqg8xd5
Jorge Guagua,4MArrZii
Renato Ibarra,SScPvtFn
Mickael Landreau,4S7oFBGb
Fidel Martinez,bDT8BC9Q
Rio Mavuba,UXDH4BzE
Edison Mendez,lAI7UeGn
Oswaldo Minda,Glv4ChfK
Christian Noboa,pjkr9ZTO
Juan Carlos Paredes,jNsUOkpA
Joao Rojas,lfG1g8pt
Reinaldo Rueda Rivera,hMSQWGVN
Luis Saritama,pETBxm0a
Enner Valencia,KELXYJ3s
Paul Aguilar,fkbCCPVf
Javier Aquino,SKe8yFgN
Benoit Assou-Ekotto,29baWIql
Isaac Brizuela,AoFbVHsF
Jose Corona,MZKVR06T
Giovani dos Santos,tdD1ceUq
Miguel Ernesto Herrera Aguirre,6ozmdzIq
Rafael Marquez,OKGkmvNG
Maza,6F6NgDeK
Carlos Pena,nXhT8jn8
Oribe Peralta,2Lj3gzv4
Miguel Ponce,6k1xgGOc
Alan Pulido,tCk7hfgA
Carlos Arnoldo Salcido Flores,bggNMKgD
Alex Song,CW3rsOvB
Alfredo Talavera,0Q1K0OGj
Jose Vazquez,Ot5VROHG
Stephen Adams,UH4KYkR1
Albert Adomah,Iw2AQhJk
Harrison Afful,fq5jFOpl
Kwesi Appiah,WIKF3G4q
Paulo Bento,A5auQ30s
Ricardo Costa,vyoTfysA
Fatau Dauda,W00d3txM
Michael Essien,pdAlRo14
Asamoah Gyan,SbzYebln
Samuel Inkoom,KlcxoHZT
Adam Kwarasey,KnhfaVyK
Raul Meireles,tQ0UIhBP
Jonathan Mensah,4Ax57CjI
Daniel Opare,2c4O90H4
Joao Pereira,8QZIzoBM
Mohammed Rabiu,S0LSz2ad
Silvestre Varela,buIzDpN0
Vieirinha,txeq4OOS
Essaid Belkalem,jRsSwPG5
Madjid Bougherra,xjTuXcSe
Liassine Cadamuro,257uqtW0
Abdelmoumene Djabou,tp1gtTYs
Nabil Ghilas,bV5WZvnJ
Dae-Sung Ha,nuHty89q
Vahid Halilhodzic,djB4wXwP
Rafik Halliche,hMcBqSNP
Kook-Young Han,A9wPkkNi
Jeong-Ho Hong,l2QMiRSN
Myung-Bo Hong,v74Hvchq
Seok-Ho Hwang,Gz4yaPiA
Sung-Ryong Jung,YDdcjggU
Bo-Kyung Kim,SIdOAzvi
Chang-Soo Kim,byW3qP98
Seung-Gyu Kim,xh6I9nD4
Shin-Wook Kim,tpoGAdvn
Young-Gwon Kim,6aXY43HJ
Tae-Hwi Kwak,02BVj4L5
Bum-Young Lee,0WluekEh
Keun-Ho Lee,fg2nHFR4
Yong Lee,GUhYOF7e
Rais M'Bolhi,CCg8cYUc
Carl Medjani,bgeNo09I
Djamel Mesbah,Um43bEFi
Mehdi Mostefa,djtRIHlk
Chu-Young Park,IVByNPAr
Jong-Woo Park,0rOQgfsU
Joo-Ho Park,QmgkhFOH
Cedric Si Mohamed,Emwbk1nL
Saphir Taider,OKdmu5Gc
Hassan Yebda,YwIsGuhs
Suk-Young Yun,6P3V2OKp
Mohamed Zemmamouche,4Q4qPJio
Toshihiro Aoyama,YmGlYzPA
Yasuhito Endo,xMcL8f5H
Giannis Fetfatzidis,SIrupo05
Theofanis Gekas,nX0WxQg5
Panagiotis Glikos,jkPbaC18
Shuichi Gonda,4GZS8kqF
Keisuke Honda,zq4slAwi
Masahiko Inoha,CYY7pSy2
Yoichiro Kakitani,EZavu8ol
Georgios Karagounis,jBAL9fdJ
Konstantinos Katsouranis,MwNXZwZJ
Hiroshi Kiyotake,MF5stpj0
Panagiotis Kone,jiUnteZi
Yasuyuki Konno,GCdP7EKN
Giannis Maniatis,6y0lhADD
Vangelis Moras,n3LrxgT1
Masato Morishige,nRLJ8Fc2
Shusaku Nishikawa,08SN98M6
Yoshito Okubo,lKoQZLjK
Manabu Saito,hnQURwxt
Dimitrios Salpingidis,dpPORFt0
Georgios Samaras,beCOQ9t2
Fernando Santos,4v7BZEuL
Georgios Tzavellas,0tx0xi2i
Alexandros Tziolis,Ey2CSeRg
Atsuto Uchida,4KovAdLb
Loukas Vyntra,fusgEIsl
Hotaru Yamaguchi,fZS9KY5a
Alberto Zaccheroni,Wz4WzqSl
Rickie Lambert,lUOVVD9n
Fabio Capello,lrogg9jr
Viktor Faizulin,61fuc8Hc
Vladimir Granat,MDBxURuG
Aleksey Ionov,IgbqBmSC
Maksim Kanunnikov,p82i66Qt
Aleksandr Kerzhakov,QgWGBntT
Aleksey Kozlov,4tT4srSD
Pavel Mogilevets,2afsxUiN
Sergei Ryzhikov,0Opwpdqt
Andrey Semenov,nqQg7AmQ
Hugo Almeida,ncj2Zr6I
Helder Postiga,Uw3sCUI5
Jordy Clasie,jXmcHMfr
Leroy Fer,URC6RSJb
Dirk Kuyt,jF82k2zh
Wesley Sneijder,Y3Pg11Dq
Louis van Gaal,4APqpVFg
Robin van Persie,0vgcq6un
Ron Vlaar,Of5WNmKB
Chigozie Agbim,zJR2m76E
Efetobore Ambrose,6BUiW40E
Shola Ameobi,SSPl1I13
Michel Babatunde,QZLyQCup
Azubuike Egwuekwe,vPJ1aI3b
Austin Ejide,CrCceH8p
Reuben Gabriel,zqWqK2Ap
Stephen Keshi,Qav42vUp
Odunlami Kunle,Eq5uqwtD
John Obi Mikel,8AkbVvN2
Uche Nwofor,lllSOJL4
Godfrey Oboabona,lQ7ws5qr
Peter Odemwingie,viLxQtb6
Ogenyi Onazi,Cb2Jco2K
Juwon Oshaniwa,IsH7nRLK
Michael Uchebo,CMUA1jtH
Ejike Uzoenyi,S0Obv3T0
Joseph Yobo,Cvx1zMeA
Rasmus Bengtsson,xzR1ipd5
Frodi Benjaminsen,U3fatJdp
Atli Danielsen,8C2MPaSp
Johan Troest Davidsen,63GfUuKT
Viljormur Davidsen,jq8TIKSQ
Jimmy Durmaz,xWx5cCg2
Rasmus Elm,MyACjRfP
Jonhard Frederiksberg,068bQKuB
Teitur Gestsson,tIPePveH
Andreas Granqvist,0EV8Feo9
Atli Gregersen,vHlpvRLr
Hallur Hansson,8MTNFbC9
Par Hansson,hS6TEB5L
Christian Holst,r7b3uwCj
Nils-Eric Johansson,fVuer0zi
Ari Mohr Jonsson,tUmpmCJH
Hans Jorgensen,K8OaObAN
Pol Justinussen,ttBYdEBI
Alexander Kacaniklic,plZHnWH8
Kim Kallstrom,29EuYZG9
Pall Klettskard,EVN3NIPT
Sebastian Larsson,OY3yOlyl
Christian Mouritsen,8WGq84wg
Jonas Naes,CtHjVL4N
Gunnar Nielsen,zZtpIzEU
David Nilsson,hCqOjJKo
Per Nilsson,4YAL5CYB
Suni Olsen,KEr06r85
Jonas Olsson,Qq3XRRXE
Daniel Orlund,EmQjPDJ8
Hans Samuelsen,t2sJSeHa
Simun Samuelsen,pWISouZM
Anders Svensson,OE33Smm5
Heini Vatnsdal,6ygiOBM1
Erkan Zengin,xptyVszj
Oliver Bozanic,KE04UFlC
Mark Bresciano,IZ3JkJdj
Jason Davidson,htzgrwe5
Vicente del Bosque,YXoxKxIr
Ivan Franjic,zkSPpS6F
Eugen Galekovic,MaCTJXJE
Ben Halloran,2cegTayr
Mile Jedinak,tAd1J6uN
Mitchell Langerak,jBUcUoVh
Massimo Luongo,Aw3OUCyR
Ryan McGowan,8juo9BX7
Matt McKay,EXHADphM
Mark Milligan,CCqpC1UD
Tommy Oar,MR0Gwwka
Matthew Spiranovic,pGU5gT2L
Adam Taggart,lju8c2nj
James Troisi,zcPl47Dh
Dario Vidosic,jHycekY8
David Villa,MsTOnBQS
Alex Wilkinson,MHoaXl2B
Bailey Wright,IJiwau6C
Asmir Avdukic,jVrS2C70
Jasmin Fejzic,SIUyQWpd
Anel Hadzic,WW6ZgLen
Senijad Ibricic,YXrUlN02
Haris Medunjanin,CU2eFWNu
Zvjezdan Misimovic,noCWwjJF
Mensur Mujdza,CdkJSd4F
Emir Spahic,hn5iSObs
Toni Sunjic,be0yGisL
Safet Susic,vXVNtTpp
Tino-Sven Susic,YNwkOEEF
Ognjen Vranjes,6HTVNHm8
Avdija Vrsajevic,GhlFnOxn
Brayan Beckeles,xvy7DRHA
Jerry Bengtson,UcFXFGYk
Victor Bernardez,M5mP8tWJ
Marvin Chavez,W0t9vTaO
Osman Chavez,fNFs1unE
Jorge Claros,2qNznP62
Carlos Costly,hzZVcj0n
Edder Delgado,dMKqNuU1
Roger Espinoza,pCWwr6qU
Maynor Figueroa,nwnFbvdC
Boniek Garcia,4rdSelx4
Juan Garcia,K8VNtB0a
Luis Garrido,YLJrB6Zp
Emilio Izaguirre,OK2FZZVO
Mario Martinez,p6qQKqbD
Ronald Martinez,vslUx5rf
Juan Montes,CSvcVxio
Jerry Palacios,67OOb763
Luis Fernando Suarez,OtJkCOOt
Noel Valladares,l2A2xxn6
Sammy Bossut,nVePjWlD
Laurent Ciman,8fPQN1Ab
Nicolas Lombaerts,W4MDHf6E
Daniel van Buyten,8C2cfGEF
Anthony Vanden Borre,OtheNZfk
Marc Wilmots,McmrrMmS
Nikica Jelavic,ney22TbN
Ivica Olic,ET96f8sG
Stipe Pletikosa,vg0BgDIj
Danijel Pranjic,dIUb3Ae8
Sammir,byACMXRQ
Gordon Schildenfeld,2J3SANOt
Ognjen Vukojevic,4zUwumle
Oliver Zelenika,YFgRn6Kd
Jozy Altidore,rmICnKwU
Wilson Palacios,nZJlkCTL
Boubacar Barry,6Dsf4Lob
Arthur Boka,YJZxNaP9
Wilfried Bony,INXcXK3r
Constant Djakpa,jHiXkwgm
Didier Drogba,2mm76ep2
Sylvain Gbohouo,SIkSpwXq
Sayouba Mande,KQyD7AyP
Giovanni Sio,4OJusCu9
Ismael Tiote,pUvaM0Ks
Kolo Toure,Gd8Ix5AB
Ousmane Viera,lUAlHBtk
Didier Ya Konan,nNRbu1Pi
Tranquillo Barnetta,dfvfwnPh
Ottmar Hitzfeld,0f4oXiWm
Gokhan Inler,Igvz54ok
Philippe Senderos,fm7MyPPH
Reto Ziegler,nmcYCKaK
Jean Beausejour,U1c3XzWe
Tim Cahill,WzcKlauG
Carlos Carmona,v1Ync0zm
Marcelo Diaz,Shz8Udxj
Eduardo Vargas,zPqz7CNT
Jose Fuenzalida,WjgTClt8
Felipe Gutierrez,dGNzC3kp
Johnny Herrera,vV8JqcXF
Mauricio Isla,z1sACHIo
Gonzalo Jara,jTiugHLB
Eugenio Mena,4dXtbGKA
Esteban Paredes,r3lHb6zC
Mauricio Pinilla,jc94efJk
Jose Rojas,08VLvUCI
Francisco Silva,zaQCzfIp
Cristopher Toselli,lKTl9fO4
Valdivia,2mm67aMn
Angelis Angeli Charalampous,xYNSPvIe
Marios Antoniadis,O4tC7TYb
Kostakis Artymatas,GtLbef1E
Andreas Avraam,C6jvRCse
Bekim Balaj,t4HyQrX5
Ervin Bulku,nL4gGPBA
Lorik Cana,rHV5TovO
Kostas Charalambidis,40ewS4ns
Elias Charalambous,zPD0YF5G
Jason Demetriou,YFizShSl
Dossa Junior,GxmBNVBK
Shkelzen Gashi,hfsfqdX0
Antonis Georgallides,nFJWBETj
Jahmir Hyka,OppMo7Ck
Ergys Kace,bsoYufVo
Anastasios Kissas,QDlWCHX0
Charalampos Kyriakou,vsBUjKB5
Vincent Laban,Cxenuh5G
Ermir Lenjani,WEBCtE12
Andi Lila,O6ZgKwy3
Sabien Lilaj,KIcvR241
Christos Mastrou,Sf74YqiL
Alban Meha,QyBjpwIL
Agon Mehmeti,nklLMFo9
Lefteris Mertakkas,QT1jw3EH
Nestor Mytidis,Uc73rjjF
Marios Nikolaou,IXzDXZKM
Tefik Osmani,d2aZu1bl
Kyriakos Pavlou,KlN3jyjc
Valdet Rama,pI98ABPR
Odise Roshi,CbWFQSpI
Hamdi Salihi,EcLx6Bab
Orges Shehi,vsXMtsqr
Admir Teli,pSCajS59
Giorgos Vasiliou,v7x6sRRC
Emilian Vila,61NcSrDG
Cheik Tiote,Wxb84uOA
Didier Zokora,vg4y62NR
